,gene symbol,forebrain_10.5_rep1,forebrain_10.5_rep2,forebrain_11.5_rep1,forebrain_11.5_rep2,forebrain_12.5_rep1,forebrain_12.5_rep2,forebrain_13.5_rep1,forebrain_13.5_rep2,forebrain_14.5_rep1,forebrain_14.5_rep2,forebrain_15.5_rep1,forebrain_15.5_rep2,forebrain_16.5_rep1,forebrain_16.5_rep2,forebrain_p0_rep1,forebrain_p0_rep2
9435,Gla,4.689364,4.612115,1.816749,2.080184,2.015848,1.887863,1.720005,1.63061,1.173459,1.231793,1.431112,1.688612,1.624364,1.512126,2.171147,1.778952
9436,Glb1,13.736008,13.870297,11.851432,12.633811,12.281523,12.898338,10.398213,8.687461,13.604712,15.09206,12.035549,11.584453,13.52737,13.361158,17.820872,13.517299
9437,Glb1l,11.065491,13.466361,19.914771,13.002793,22.003068,22.245531,15.989848,11.70216,7.86069,13.124937,13.332136,12.983113,14.611151,13.905761,7.595724,5.847415
9438,Glb1l2,3.732414,4.657151,2.995213,3.312515,1.966165,2.520491,1.737484,1.266022,1.494237,1.237456,1.092882,1.03072,1.023421,1.117806,1.014451,0.903246
9439,Glb1l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202205,0.0,0.179596,0.017369,0.235037,0.024899
9440,Glcci1,8.076686,10.483684,18.104348,18.398187,24.007746,18.571559,14.367804,15.378444,10.851345,13.116477,20.044322,17.986507,16.860787,21.153229,7.229885,5.638314
9441,Glce,19.502199,17.072987,15.806787,15.1823,14.66174,11.830427,11.453391,8.863157,10.483817,12.4083,10.856749,14.962307,18.229612,15.646046,10.910112,10.022751
9442,Gldc,32.564873,33.135613,34.254201,32.898509,34.436531,28.813783,14.879678,13.32409,7.66317,7.428525,9.391759,9.101172,7.061654,7.889588,5.01847,3.243373
9443,Gldn,0.10581,0.17442,0.011008,0.058693,0.051609,0.082153,0.11552,0.080159,0.102165,0.152002,0.067205,0.113354,0.198517,0.065471,0.543254,0.215476
9445,Gle1,54.220936,51.719702,48.430681,45.432504,55.244126,54.404404,50.82171,50.035713,29.99006,39.868958,61.262769,56.076791,64.551229,65.623856,39.981456,30.398706
